Mod:Item:MetaData, Localized Name
basemetals:emerald_stairs, Emerald Stairs
basemetals:emerald_pressure_plate, Emerald Pressure Plate
basemetals:emerald_nugget, Emerald Fragment
basemetals:ender, Molten Ender
basemetals:quartz_crossbow, Quartz Crossbow
basemetals:quartz_trapdoor, Quartz Trapdoor
basemetals:quartz_bolt, Quartz Bolt
basemetals:quartz_fishing_rod, Quartz Fishing Rod
basemetals:quartz_bow, Quartz Bow
basemetals:quartz_leggings, Quartz Leg Armor
basemetals:quartz_shield, Quartz Shield
basemetals:quartz_horse_armor, Quartz Horse Armor
basemetals:quartz_shears, Quartz Shears
basemetals:quartz_wall, Quartz Wall
basemetals:quartz_smallpowder, Tiny Pile of Quartz Dust
basemetals:quartz_bars, Quartz Bars
basemetals:quartz_crackhammer, Quartz Crack Hammer
basemetals:quartz_gear, Quartz Gear
basemetals:quartz_button, Quartz Button
basemetals:quartz_powder, Quartz Dust
basemetals:quartz_boots, Quartz Boots
basemetals:quartz_axe, Quartz Axe
basemetals:quartz_door, Quartz Door
basemetals:quartz_pickaxe, Quartz Pickaxe
basemetals:quartz_hoe, Quartz Hoe
basemetals:quartz_rod, Quartz Rod
basemetals:quartz_shovel, Quartz Shovel
basemetals:quartz_lever, Quartz Lever
basemetals:quartz_sword, Quartz Sword
basemetals:quartz, tile.basemetals.quartz.name
basemetals:quartz_chestplate, Quartz Chestplate
basemetals:quartz_helmet, Quartz Helmet
basemetals:quartz_pressure_plate, Quartz Pressure Plate
basemetals:quartz_arrow, Quartz Arrow
basemetals:quartz_nugget, Quartz Fragment
basemetals:obsidian_slab, Obsidian Slab
basemetals:obsidian_trapdoor, Obsidian Trapdoor
basemetals:obsidian_crossbow, Obsidian Crossbow
basemetals:obsidian_lever, Obsidian Lever
basemetals:obsidian_stairs, Obsidian Stairs
basemetals:obsidian_bolt, Obsidian Bolt
basemetals:obsidian_fishing_rod, Obsidian Fishing Rod
basemetals:obsidian_bars, Obsidian Bars
basemetals:obsidian_bow, Obsidian Bow
basemetals:obsidian_leggings, Obsidian Leg Armor
basemetals:obsidian_shield, Obsidian Shield
basemetals:obsidian_horse_armor, Obsidian Horse Armor
basemetals:obsidian_shears, Obsidian Shears
basemetals:obsidian_smallpowder, Tiny Pile of Obsidian Dust
basemetals:obsidian_crackhammer, Obsidian Crack Hammer
basemetals:obsidian_gear, Obsidian Gear
basemetals:obsidian_powder, Obsidian Dust
basemetals:obsidian_boots, Obsidian Boots
basemetals:obsidian_axe, Obsdidian Axe
basemetals:obsidian_door, Obsidian Door
basemetals:obsidian_pickaxe, Obsidian Pickaxe
basemetals:obsidian_hoe, Obsidian Hoe
basemetals:obsidian_rod, Obsidian Rod
basemetals:obsidian_ingot, Obsidian Ingot
basemetals:obsidian_shovel, Obsidian Shovel
basemetals:obsidian_sword, Obsidian Sword
basemetals:obsidian_chestplate, Obsidian Chestplate
basemetals:obsidian_helmet, Obsidian Helmet
basemetals:obsidian_button, Obsidian Button
basemetals:obsidian_arrow, Obsidian Arrow
basemetals:obsidian_pressure_plate, Obsidian Pressure Plate
basemetals:obsidian_wall, Obsidian Wall
basemetals:obsidian_nugget, Obsidian Fragment
basemetals:lapis_smallpowder, Tiny Pile of Lapis Dust
basemetals:prismarine, Molten Prismarine
basemetals:redstone_ingot, Redstone Ingot
basemetals:redstone_smallpowder, Tiny Pile of Redstone Dust
libvulpes:linker, Linker
libvulpes:battery:0, Small Battery
libvulpes:battery:1, 2x Small Battery
libvulpes:holoprojector, Holo-Projector
advancedrocketry:iquartzcrucible, Quartz Crucible
advancedrocketry:orescanner, Ore Scanner
advancedrocketry:satellitepowersource:0, Basic Solar Panel
advancedrocketry:satellitepowersource:1, Large Solar Panel
advancedrocketry:satelliteprimaryfunction:0, Optical Sensor
advancedrocketry:satelliteprimaryfunction:1, Composition Sensor
advancedrocketry:satelliteprimaryfunction:2, Mass Detector
advancedrocketry:satelliteprimaryfunction:3, Microwave Transmitter
advancedrocketry:satelliteprimaryfunction:4, Ore Mapper
advancedrocketry:satelliteprimaryfunction:5, Biome Changer
advancedrocketry:itemcircuitplate:0, Basic Circuit Plate
advancedrocketry:itemcircuitplate:1, Advanced Circuit Plate
advancedrocketry:ic:0, Basic Circuit
advancedrocketry:ic:1, Tracking Circuit
advancedrocketry:ic:2, Advanced Circuit
advancedrocketry:ic:3, Control Circuit Board
advancedrocketry:ic:4, Item IO Circuit Board
advancedrocketry:ic:5, Liquid IO Circuit Board
advancedrocketry:wafer:0, Silicon Wafer
advancedrocketry:dataunit:0, Data Storage Unit
advancedrocketry:satellite, Satellite
advancedrocketry:satelliteidchip, Satellite Id Chip
advancedrocketry:planetidchip, Planet Id Chip
advancedrocketry:misc:0, User Interface
advancedrocketry:misc:1, Carbon Brick
advancedrocketry:sawbladeiron:0, Iron Saw Blade
advancedrocketry:spacestationchip:0, Space Station Id Chip
advancedrocketry:spacestation:0, Space Station Container
advancedrocketry:spacehelmet, Space Helmet
advancedrocketry:spaceboots, Space Boots
advancedrocketry:spacechestplate, Space Suit Chest-Piece
advancedrocketry:spaceleggings, Space Suit Legging
advancedrocketry:bucketrocketfuel, Tank of Rocket Fuel
advancedrocketry:bucketnitrogen, Tank of Nitrogen
advancedrocketry:buckethydrogen, Tank of Hydrogen
advancedrocketry:bucketoxygen, Tank of Oxygen
advancedrocketry:bucketenrichedlava, Tank of Enriched Lava
advancedrocketry:smallairlockdoor, Small Airlock Door
advancedrocketry:carbonscrubbercartridge, Carbon Collection Cartridge
advancedrocketry:sealdetector, Seal Detector
advancedrocketry:jackhammer, Jack Hammer
advancedrocketry:asteroidchip, Asteroid Chip
advancedrocketry:elevatorchip, Space Elevator Chip
advancedrocketry:lens:0, Basic Lens
advancedrocketry:jetpack, Jet Pack
advancedrocketry:pressuretank:0, Low Pressure Tank
advancedrocketry:pressuretank:1, Pressure Tank
advancedrocketry:pressuretank:2, High Pressure Tank
advancedrocketry:pressuretank:3, Super High Pressure Tank
advancedrocketry:itemupgrade:0, Hover Upgrade
advancedrocketry:itemupgrade:1, Flight Speed Control Upgrade
advancedrocketry:itemupgrade:2, Bionic Leg Upgrade
advancedrocketry:itemupgrade:3, Padded Landing Boots
advancedrocketry:itemupgrade:4, Anti-Fog Visor
advancedrocketry:atmanalyser, Atmosphere Analyzer
advancedrocketry:basiclasergun, Basic Laser Gun
advancedrocketry:beaconfinder, Beacon Finder
advancedrocketry:thermite, Thermite
advancedrocketry:hovercraft, HoverCraft
advancedrocketry:biomechanger, Biome Changer Remote
forge:bucketfilled, %s Bucket
chisel:auto_chisel, Auto Chisel
chisel:chisel_iron, Chisel
chisel:chisel_diamond, Diamond Chisel
chisel:chisel_hitech, iChisel
chisel:offsettool, Ender Offset Wand
baubles:ring:0, Miner's Ring
enderio:item_enderface, Enderface
enderio:item_conduit_facade:0, Conduit Facade
enderio:item_conduit_facade:1, Hardened Conduit Facade
enderio:item_conduit_facade:2, Transparent Conduit Facade
enderio:item_conduit_facade:3, Transparent Hardened Conduit Facade
enderio:item_basic_capacitor:0, Basic Capacitor
enderio:item_basic_capacitor:1, Double-Layer Capacitor
enderio:item_basic_capacitor:2, Octadic Capacitor
enderio:block_alloy:0, Electrical Steel Block
enderio:block_alloy:1, Energetic Alloy Block
enderio:block_alloy:2, Vibrant Alloy Block
enderio:block_alloy:3, Redstone Alloy Block
enderio:block_alloy:4, Conductive Iron Block
enderio:block_alloy:5, Pulsating Iron Block
enderio:block_alloy:6, Dark Steel Block
enderio:block_alloy:7, Soularium Block
enderio:block_alloy:8, End Steel Block
enderio:block_alloy:9, Iron Alloy Block
enderio:item_alloy_ingot:0, Electrical Steel Ingot
enderio:item_alloy_ingot:1, Energetic Alloy Ingot
enderio:item_alloy_ingot:2, Vibrant Alloy Ingot
enderio:item_alloy_ingot:3, Redstone Alloy Ingot
enderio:item_alloy_ingot:4, Conductive Iron Ingot
enderio:item_alloy_ingot:5, Pulsating Iron Ingot
enderio:item_alloy_ingot:6, Dark Steel Ingot
enderio:item_alloy_ingot:7, Soularium Ingot
enderio:item_alloy_ingot:8, End Steel Ingot
enderio:item_alloy_ingot:9, Iron Alloy Ingot
enderio:item_alloy_nugget:0, Electrical Steel Nugget
enderio:item_alloy_nugget:1, Energetic Alloy Nugget
enderio:item_alloy_nugget:2, Vibrant Alloy Nugget
enderio:item_alloy_nugget:3, Redstone Alloy Nugget
enderio:item_alloy_nugget:4, Conductive Iron Nugget
enderio:item_alloy_nugget:5, Pulsating Iron Nugget
enderio:item_alloy_nugget:6, Dark Steel Nugget
enderio:item_alloy_nugget:7, Soularium Nugget
enderio:item_alloy_nugget:8, End Steel Nugget
enderio:item_alloy_nugget:9, Iron Alloy Nugget
enderio:item_alloy_ball:0, Electrical Steel Grinding Ball
enderio:item_alloy_ball:1, Energetic Alloy Grinding Ball
enderio:item_alloy_ball:2, Vibrant Alloy Grinding Ball
enderio:item_alloy_ball:3, Redstone Alloy Grinding Ball
enderio:item_alloy_ball:4, Conductive Iron Grinding Ball
enderio:item_alloy_ball:5, Pulsating Iron Grinding Ball
enderio:item_alloy_ball:6, Dark Steel Grinding Ball
enderio:item_alloy_ball:7, Soularium Grinding Ball
enderio:item_alloy_ball:8, End Steel Grinding Ball
enderio:item_alloy_ball:9, Iron Alloy Grinding Ball
enderio:item_material:0, Simple Machine Chassis
enderio:item_material:1, Industrial Machine Chassis
enderio:item_material:2, Machine Parts
enderio:item_material:3, Photovoltaic Plate
enderio:item_material:4, Conduit Binder
enderio:item_material:5, Silicon
enderio:item_material:6, Glider Wing
enderio:item_material:7, Glider Wings
enderio:item_material:8, Nutritious Stick
enderio:item_material:9, Wooden Gear
enderio:item_material:10, Stone Gear
enderio:item_material:11, Infinity Bimetal Gear
enderio:item_material:12, Energized Bimetal Gear
enderio:item_material:13, Vibrant Bimetal Gear
enderio:item_material:14, Pulsating Crystal
enderio:item_material:15, Vibrant Crystal
enderio:item_material:16, Ender Crystal
enderio:item_material:17, Enticing Crystal
enderio:item_material:18, Weather Crystal
enderio:item_material:19, Prescient Crystal
enderio:item_material:20, Grains of Infinity
enderio:item_material:21, Flour
enderio:item_material:22, Conduit Binder Composite
enderio:item_material:23, Coal Powder
enderio:item_material:24, Iron Powder
enderio:item_material:25, Gold Powder
enderio:item_material:26, Copper Powder
enderio:item_material:27, Tin Powder
enderio:item_material:28, Ender Pearl Powder
enderio:item_material:29, Obsidian Powder
enderio:item_material:30, Ardite Powder
enderio:item_material:31, Cobalt Powder
enderio:item_material:32, Lapis Lazuli Powder
enderio:item_material:33, Quartz Powder
enderio:item_material:34, Grains of Prescience
enderio:item_material:35, Grains of Vibrancy
enderio:item_material:36, Grains of Piezallity
enderio:item_material:37, Grains of the End
enderio:item_material:38, Photovoltaic Composite
enderio:item_material:39, Enderium Base
enderio:item_material:40, Zombie Electrode
enderio:item_material:41, Z-Logic Controller
enderio:item_material:42, Frank'N'Zombie
enderio:item_material:43, Ender Resonator
enderio:item_material:44, Sentient Ender
enderio:item_material:45, Skeletal Contractor
enderio:item_material:46, Clippings and Trimmings
enderio:item_material:47, Twigs and Prunings
enderio:item_material:48, Organic Green Dye
enderio:item_material:49, Organic Brown Dye
enderio:item_material:50, Organic Black Dye
enderio:item_material:51, Industrial Dye Blend
enderio:item_material:52, Soul Attuned Dye Blend
enderio:item_material:53, Soul Machine Chassis
enderio:item_material:54, Enhanced Machine Chassis
enderio:item_material:55, Soulless Machine Chassis
enderio:item_material:56, Guardian Diode
enderio:item_material:57, Signalum Grinding Ball
enderio:item_material:58, Enderium Grinding Ball
enderio:item_material:59, Lumium Grinding Ball
enderio:item_material:60, Redstone Filter Base
enderio:item_material:61, Confusing Powder
enderio:item_material:62, Ender Fragment
enderio:item_material:63, Withering Dust
enderio:item_material:64, Remote Awareness Upgrade
enderio:item_material:65, Wireless Energy Transmitter Dish Assembly
enderio:item_material:66, End Steel Chassis
enderio:item_material:67, Enhanced Dye Blend
enderio:item_material:68, Enhanced Machine Parts
enderio:item_material:69, Simple Machine Parts
enderio:item_material:70, Cake Base
enderio:item_material:71, Infinity Rod
enderio:item_material:72, Nethercotta
enderio:item_material:73, Dark Bimetal Gear
enderio:item_material:74, Soul Powder
enderio:item_material:75, Infinity Reagent
enderio:item_material:76, Clay-Coated Glowstone Dust
enderio:item_material:77, Black Paper
enderio:item_material:78, Animal Token
enderio:item_material:79, Monster Token
enderio:item_material:80, Player Token
enderio:item_broken_spawner:0, Broken Spawner
enderio:block_infinity_fog:0, Infinity Dust
enderio:block_infinity:0, Infinity Dust Block
enderio:block_infinity:1, Compressed Infinity Dust Block
enderio:block_infinity:2, Double Compressed Infinity Dust Block
enderio:block_holy_fog, Glowstone Nano-Particles
enderio:block_dark_steel_anvil:0, Dark Steel Anvil
enderio:block_dark_steel_anvil:1, Slightly Damaged Dark Steel Anvil
enderio:block_dark_steel_anvil:2, Very Damaged Dark Steel Anvil
enderio:block_dark_paper_anvil:0, Dark Paper Anvil
enderio:block_dark_paper_anvil:1, Slightly Damaged Dark Paper Anvil
enderio:block_dark_paper_anvil:2, Very Damaged Dark Paper Anvil
enderio:block_dark_steel_ladder, Dark Steel Ladder
enderio:block_dark_iron_bars, Dark Iron Bars
enderio:block_dark_steel_trapdoor, Dark Steel Trapdoor
enderio:block_dark_steel_door, Dark Steel Door
enderio:block_reinforced_obsidian, Reinforced Obsidian
enderio:block_self_resetting_lever5, Self-resetting Lever (5 seconds)
enderio:block_self_resetting_lever10, Self-resetting Lever (10 seconds)
enderio:block_self_resetting_lever30, Self-resetting Lever (30 seconds)
enderio:block_self_resetting_lever60, Self-resetting Lever (1 Minute)
enderio:block_self_resetting_lever300, Self-resetting Lever (5 Minutes)
enderio:block_self_resetting_lever5i, Inverted Self-resetting Lever (5 seconds)
enderio:block_self_resetting_lever10i, Inverted Self-resetting Lever (10 seconds)
enderio:block_self_resetting_lever30i, Inverted Self-resetting Lever (30 seconds)
enderio:block_self_resetting_lever60i, Inverted Self-resetting Lever (1 Minute)
enderio:block_self_resetting_lever300i, Inverted Self-resetting Lever (5 Minutes)
enderio:block_decoration1:0, Machine Chassis (decoration block)
enderio:block_decoration1:1, Blank Machine (decoration block)
enderio:block_decoration1:2, Machine Tops (decoration block)
enderio:block_decoration1:3, Machine Sides (decoration block)
enderio:block_decoration1:4, Machine Backs (decoration block)
enderio:block_decoration1:5, Machine with sides (decoration block)
enderio:block_decoration1:6, Machine width backs (decoration block)
enderio:block_decoration1:7, Blank Soul Machine (decoration block)
enderio:block_decoration1:8, Soul Machine Tops (decoration block)
enderio:block_decoration1:9, Soul Machine Sides (decoration block)
enderio:block_decoration1:10, Soul Machine Backs (decoration block)
enderio:block_decoration1:11, Soul Machine with sides (decoration block)
enderio:block_decoration1:12, Soul Machine width backs (decoration block)
enderio:block_decoration1:13, Red Machine (decoration block)
enderio:block_decoration1:14, Broken Spawner (decoration block)
enderio:block_decoration1:15, Invisible Block (decoration block)
enderio:block_decoration2:0, Alloy Smelter (decoration block)
enderio:block_decoration2:1, Item Buffer (decoration block)
enderio:block_decoration2:2, Power Buffer (decoration block)
enderio:block_decoration2:3, Omni Buffer (decoration block)
enderio:block_decoration2:4, Creative Buffer (decoration block)
enderio:block_decoration2:5, Crafter (decoration block)
enderio:block_decoration2:6, Painting Machine (decoration block)
enderio:block_decoration2:7, Power Monitor (decoration block)
enderio:block_decoration2:8, SAG Mill (decoration block)
enderio:block_decoration2:9, Slice'N'Splice (decoration block)
enderio:block_decoration2:10, Stirling Generator (decoration block)
enderio:block_decoration2:11, Fluid Tank (decoration block)
enderio:block_decoration2:12, Pressurized Fluid Tank (decoration block)
enderio:block_decoration2:13, Travel Anchor (decoration block)
enderio:block_decoration2:14, Vacuum Chest (decoration block)
enderio:block_decoration2:15, Wireless Charger (decoration block)
enderio:block_decoration3:0, XP Vacuum (decoration block)
enderio:block_decoration3:1, Simple Alloy Smelter (decoration block)
enderio:block_decoration3:2, Simple Stirling Generator (decoration block)
enderio:block_decoration3:3, Wired Charger (decoration block)
enderio:block_decoration3:4, Simple Sagmill (decoration block)
enderio:block_industrial_insulation, Industrial Insulation
enderio:block_end_iron_bars, End Steel Bars
enderio:block_confusion_charge, Confusion Charge
enderio:block_concussion_charge, Concussion Charge
enderio:block_ender_charge, Ender Charge
enderio:block_painted_slab, Painted Slab
enderio:block_painted_stone_slab, Painted Stone Slab
enderio:block_painted_pressure_plate:1, Wooden Pressure Plate (Silent)
enderio:block_painted_pressure_plate:3, Stone Pressure Plate (Silent)
enderio:block_painted_pressure_plate:5, Weighted Pressure Plate (Heavy) (Silent)
enderio:block_painted_pressure_plate:7, Weighted Pressure Plate (Light) (Silent)
enderio:block_painted_pressure_plate:8, Dark Pressure Plate
enderio:block_painted_pressure_plate:9, Dark Pressure Plate (Silent)
enderio:block_painted_pressure_plate:10, Soularium Pressure Plate
enderio:block_painted_pressure_plate:11, Soularium Pressure Plate (Silent)
enderio:block_painted_pressure_plate:12, Soularium Pressure Plate (Tuned)
enderio:block_painted_pressure_plate:13, Soularium Pressure Plate (Tuned) (Silent)
enderio:block_painted_wooden_door, Painted Wooden Door
enderio:block_painted_iron_door, Painted Iron Door
enderio:block_painted_dark_steel_door, Painted Dark Steel Door
enderio:block_exit_rail, Exit Rail
enderio:item_conduit_probe:0, Conduit Probe
enderio:item_yeta_wrench, Yeta Wrench
enderio:item_xp_transfer:0, Experience Rod
enderio:item_cold_fire_igniter, Cold Fire Igniter
enderio:item_coord_selector, Coordinate Selector
enderio:item_location_printout, Location Printout
enderio:item_travel_staff:0, Staff of Traveling
enderio:item_travel_staff:0, Staff of Traveling
enderio:item_rod_of_return:0, Rod of Return
enderio:item_rod_of_return:0, Rod of Return
enderio:item_magnet:0, Electromagnet
enderio:item_magnet:0, Electromagnet
enderio:block_enderman_skull:0, Enderman Head
enderio:block_enderman_skull:2, Tormented Enderman Head
enderio:item_ender_food:0, "Enderios"
enderio:item_basic_item_filter:0, Basic Item Filter
enderio:item_advanced_item_filter:0, Advanced Item Filter
enderio:item_limited_item_filter:0, Limited Item Filter
enderio:item_big_item_filter:0, Big Item Filter
enderio:item_big_advanced_item_filter:0, Advanced Big Item Filter
enderio:item_existing_item_filter:0, Existing Item Filter
enderio:item_mod_item_filter:0, Mod Item Filter
enderio:item_power_item_filter:0, Power Item Filter
enderio:item_soul_filter_normal:0, Soul Item Filter
enderio:item_soul_filter_big:0, Big Soul Item Filter
enderio:item_enchantment_filter_normal:0, Enchantment Item Filter
enderio:item_enchantment_filter_big:0, Big Enchantment Item Filter
enderio:item_fluid_filter:0, Basic Fluid Filter
enderio:item_redstone_not_filter:0, Redstone NOT Filter
enderio:item_redstone_or_filter:0, Redstone OR Filter
enderio:item_redstone_and_filter:0, Redstone AND Filter
